İzmir;(3. Yarış Günü);06/01/2023
1. Kosu :   18:30;Maiden; 3 Yaşlı İngilizler; 58.00kg; 1200m; Kum;;;;Rekor Derece :1.11.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)108.000 TL;2.)43.200 TL;3.)21.600 TL;4.)10.800 TL;5.)5.400 TL;1.)24.840 TL;2.)9.936 TL;3.)4.968 TL;4.)2.484 TL;5.)1.242 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;KING OF MY HEART;3y d  e;MENDIP (USA);CHECK POINT;58;Ö.YILDIRIM;CÜNEYT BUĞDAYCI;Ş.ÖZDENİZ;3;;;1:15.49;1,05;8,5 Boy
2;ARUTAN DB;3y a  e;HAKKAR;LADY CHATTERLEY;58;A.KÜRÜNDÜK;BURHAN ŞEN;B.ÖZGÜR;6;;16;1:16.84;5,50;10 Boy
3;SKY OF THUNDER KG DB SK;3y d  e;BANKNOTE (GB);LADY NAOMI;56;A.YILDIZ AP;GÖKHAN ALBAYRAK;H.DURMUŞ;1;;12;1:18.50;9,75;6 Boy
4;BLUE MASTİKA DB SK;3y d  e;BAY ÇİFTÇİOĞLU;QUEEN OF VANDAMME;58;A.C.DAĞDEVİREN;NECATİ ÇİFTÇİOĞLU;Ü.BOZKURT;5;;;1:19.43;21,80;Boyun
5;NAİLOĞLUM K;3y d  e;BANKNOTE (GB);LATMOS;58 +2.00;A.OKAN PAZAR;YAŞAR GÖLBAŞ;B.TOPCU;8 - DS;;;1:19.49;11,70;
6;HAMİDİN (Koşmaz);3y a  e;LION HEART (USA);MISSY FRANKLIN;58;HİKMET TUNÇ AP;ERAY KOKTAY;A.KARABIYIK;2;;37;Koşmaz;;
7;DONNA (Koşmaz);3y d  d;PACO BOY (IRE);DREAM OF MY LOVE;56;K.KİRİŞÇİLER AP;ERAY KOKTAY;MEH.KAYA;7;;;Koşmaz;;
8;MISS JANJAN (Koşmaz);3y a  d;CORINTHIAN (USA);YELENA;56;H.AKYOL AP;NUSRET ÖZBAĞ;MEH.KAYA;4;;;Koşmaz;;
[(3)HAMİDİN,(7)DONNA,] eküridir.GANYAN(4) :1,05 TL, İKİLİ(1/4) :1,85 TL, SIRALI İKİLİ(4/1) :2,30 TL, ÜÇLÜ BAHİS(4/1/6) :2,36 TL Çıkan 1 Atla: 0,47 TL Çıkan 2 Atla: 0,47 TL, PLASE() :İade

2. Kosu :   19:00;Handikap 15/DHÖW/Dişi /H2; 4 Yaşlı Araplar; kg; 1600m; Kum;;;;Rekor Derece :1.48.55
İkramiye;;;;;Yetiştirici Primi;;;;
1.)96.500 TL;2.)38.600 TL;3.)19.300 TL;4.)9.650 TL;5.)4.825 TL;1.)16.646 TL;2.)6.659 TL;3.)3.329 TL;4.)1.665 TL;5.)832 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;YAZ GÜZELİM KG K DB GKR;4y a k;BİTİRİMKARINCA;BAHARESİNTİ;51,5 +2.00;B.M.MIRIK;OĞUZ DAĞLAROĞLU;T.TEMİZER;3;%6.93(6);37;1:53.04;10,20;4 Boy
2;KÖYLÜMÜN KIZI KG DB SK;4y k k;DEMİRDÖVEN;ÖZGÜLEN;54,5 +2.00;Ö.YILDIRIM;MEHMET ARICI;O.TAŞDEMİR;1;%15.53(3);43;1:53.72;6,40;6 Boy
3;KUMRAL TAY KG SK;4y d k;TÜMÖZ BEY;ARCİVAN;54,5 +1.50;O.YILDIZ;MUSTAFA ARICI;B.ÖZGÜR;2;%4.76(7);43;1:54.72;15,65;Boyun
4;AHİRDAĞ KG K;4y a k;GELİBOLU;BERİKAKIZ;59,5;M.ÇİÇEK;LÜTFİ SABANCI;M.TAMER;7 - DS;%18.29(2);53;1:54.76;3,65;3 Boy
5;ÇAMSAKIZI KG;4y d k;TÜMÖZ BEY;NEHİRCAN;57;E.ÇİZİK AP;SERDAR YILDIZ;R.YILDIZ;4;%10.04(5);54;1:55.24;12,05;
6;KRAL TAÇI KG K;4y d k;TÜMÖZ BEY;AYDANAZ;59;K.TOKAÇOĞLU;TURGAY YAVUZ;O.TAŞDEMİR;6;%29.2(1);52;1:55.89;1,80;
