İstanbul;(45. Yarış Günü);24/07/2022
1. Kosu :   15:15;Handikap 16/DHÖW /H1; 4 Yaşlı Araplar; kg; 1900m; Çim;;;;Rekor Derece :2.04.59
İkramiye;;;;;Yetiştirici Primi;;;;
1.)90.000 TL;2.)36.000 TL;3.)18.000 TL;4.)9.000 TL;5.)4.500 TL;1.)15.525 TL;2.)6.210 TL;3.)3.105 TL;4.)1.553 TL;5.)776 TL;
At No;At İsmi;Yaş;Orijin(Baba);Orijin(Anne);Kilo;Jokey Adı;Sahip Adı;Antrenör Adı;St;AGF;H;Derece;Ganyan;Fark
1;EZERDÖVER DB SK;4y k  a;KAIZBERT (RU);ALISHBA;51 +2.00;MÜS.ÇELİK;MURAT YILDIRIM;N.ESEN;5;%31.16(1);47;2:10.34;2,05;1 Boy
2;JUNYOR SELİM KG DB SK;4y a  a;PAYİDARBEY;YARDIMCI ABLA;53 +1.80;G.KOCAKAYA;NECATİ YARDIMCI;N.ALAGEYİK;4;%19.84(2);51;2:10.47;2,60;1 Boy
3;YAVUZ REİS DB SKG SK;4y d  a;BABA MEVLÜT;GÜLPARE;58,5;D.YILDIZ;ULAŞ YILDIZ;T.SAYILKAN;1;%11.74(4);62;2:10.64;6,95;At Başı
4;CESURBUĞRA GKR;4y a  a;KURTEL;KIYMET HANIM;50 +2.00;A.KAÇMAZ;MEHMETAKİF KAYA;Ç.AYDIN;2;%5.42(7);40;2:10.64;15,30;1 Boy
5;KURT ENGİN KG SK;4y k  a;BABA MEVLÜT;BLUE VELVET;50 +2.00;D.KAYA;RECEP GÜLDOĞDU;E.USLU;3;%13.09(3);38;2:10.83;5,35;
6;ŞAH DRAGON KG DB SK;4y a  a;ŞAH ŞEHRİYAR;LAPİS;59,5;Z.KARABULUT AP;H.TARIK DİKENCİK;M.ÖZGÜL;7 - DS;%8.29(6);68;2:11.19;7,15;
7;İLLEDE SÜRMELİ SK;4y a  a;TURBO;ESENHANIM;50 +2.00;A.ASLAN;ŞAHNUR KARACA;M.ACAR;6;%10.45(5);44;2:11.64;6,85;
GANYAN(4) :2,05 TL, İKİLİ(3/4) :3,30 TL, SIRALI İKİLİ(4/3) :5,25 TL

