Tarih,Koşu no,Sıralama,At İsmi,Yaşı,Orijin Baba,Orijin Anne,Sahip,İl,Mesafe,Pist Tipi,Grup,Klasifikasyon,Taşıdığı Ağırlık,Jokey,Antrenör,Kulvar,Handikap Puanı,Derece,Ganyan,AGF
01/01/2022,1,1,LENORA,3y a  d,THREE VALLEYS (USA),INDIAN GREEN,TOLGAHAN TOPCU,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,54,G.ÖZÇELİK AP,SU.ÖZKAN,6,0,1:12:20,"2,60",Yok
01/01/2022,1,2,ROYAL BABY,3y a  e,KULOĞLU,RAIN GODDESS,ALAETTİN ÖZCAN,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,58,A.ÇELİK,M.AKKILIÇ,4,37,1:12:30,"1,95",Yok
01/01/2022,1,3,RED KNİGHT,3y d  e,PERFECTO,VICTORY BLUES,SEVAL ARICI,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,58,A.ASLAN,S.ÇİFTÇİ,1,35,1:12:64,"11,15",Yok
01/01/2022,1,4,RABITELLİ,3y d  e,SMART ROBIN (JPN),GÜLŞAH HANIM,ERDAL URAL,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,58,MER.ÇELİK,M.SOYKUVVET,5,0,1:13:03,"26,10",Yok
01/01/2022,1,5,MARCUS AURELIUS,3y d  e,HAKEEM (USA),MALAKANA,SAVAŞ AYDOĞDİ,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,58,H.ALTIN,SERD.AYDOĞDİ,7,34,1:13:35,"10,55",Yok
01/01/2022,1,6,QALANDAR,3y d  e,MENDIP (USA),HEYYAVRUMHEY,CUMHUR ÜN,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,54 +2.00,M.KAYİŞ AP,M.ERKUŞ,2,0,1:14:30,"57,95",Yok
01/01/2022,1,7,DIZZY WIND,3y d  e,PERFECTO,RİMİNİ,L.SONA ÜTÜCÜ,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,58,VEDAT ABİŞ,İ.ESER,10,34,1:14:31,"4,90",Yok
01/01/2022,1,8,MAKSUT REİS,3y d  e,THREE VALLEYS (USA),CYPRIANA,İ.SERDAR AKSEL,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,58,M.HAMEDİ,O.DEMİRKIRAN,3,0,1:14:48,"32,55",Yok
01/01/2022,1,9,ÇARIK,3y d  e,MENDIP (USA),SEMİHA HATUN,MELİSA ŞAFAK GİRER,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,58,GÖK.BEKTAŞ,M.ACAR,9,17,1:17:07,"25,90",Yok
01/01/2022,1,10,KIZIM SİMGE,3y d  d,THREE VALLEYS (USA),MUZAFFER SULTAN,ENİS BADIŞOĞLU,İstanbul,1200,Sentetik,3 Yaşlı İngilizler,Maiden,56,D.YILDIZ,G.TAŞDELEN,8,28,1:18:45,"36,95",Yok
