Tarih,Koşu no,Sıralama,At İsmi,Yaşı,Orijin Baba,Orijin Anne,Sahip,İl,Mesafe,Pist Tipi,Grup,Klasifikasyon,Taşıdığı Ağırlık,Jokey,Antrenör,Kulvar,Handikap Puanı,Derece,Ganyan,AGF
01/01/2023,1,1,MASTER STORM,3y d  d,TOCCET (USA),MASTER OF THE WIND,NAZENİN SERFİCELİ,İzmir,1400,Kum,3 Yaşlı İngilizler,ŞARTLI 3/Dişi /X,61,M.M.BİLGİN,F.ÇELTİK,5,51,1:27:80,"1,25",Yok
01/01/2023,1,2,MURİÇKA,3y d  d,SCARFACE,BÜYÜKANNE,YASİN MIZRAK,İzmir,1400,Kum,3 Yaşlı İngilizler,ŞARTLI 3/Dişi /X,58,C.PASO AP,B.ÇAKUS,2,43,1:28:92,"6,55",Yok
01/01/2023,1,3,CANTALOUPE,3y d  d,PAPA CLEM (USA),LAİK KIZ,ONUR YETKİN,İzmir,1400,Kum,3 Yaşlı İngilizler,ŞARTLI 3/Dişi /X,58,Ö.YILDIRIM,Ş.ÖZDENİZ,4,50,1:30:40,"2,60",Yok
01/01/2023,1,4,PAVLİÇENKO,3y a  d,CROSS FIRE,ASETON,YUSUF KÜREM,İzmir,1400,Kum,3 Yaşlı İngilizler,ŞARTLI 3/Dişi /X,54,İ.S.SÖĞÜT AP,Ü.AYBOĞA,3,39,1:30:68,"10,85",Yok
01/01/2023,1,5,ANGELINA,3y d  d,RUBICON,KISS ME,OSMAN TANER,İzmir,1400,Kum,3 Yaşlı İngilizler,ŞARTLI 3/Dişi /X,55,A.C.DAĞDEVİREN,S.ŞAHYAZICI,1,13,1:38:16,"37,60",Yok
01/01/2023,2,1,YANKIALP,4y d  a,FARUKİ,EDASEL,GÜVEN BAŞÇİVİ,İzmir,1400,Kum,4 Yaşlı Araplar,ŞARTLI 5/DHÖW,54 +2.00,M.M.BİLGİN,H.DURMUŞ,1,63,1:36:22,"4,70",Yok
01/01/2023,2,2,ÇAĞDAŞ ALAÇAT,4y k  a,JOKER,RUHŞAT,HALUK OĞUZ,İzmir,1400,Kum,4 Yaşlı Araplar,ŞARTLI 5/DHÖW,54 +1.20,GÖKH.GÖKÇE,FAH.CEYLAN,6,80,1:36:30,"1,10",Yok
01/01/2023,2,3,BİZİM,4y a  a,ALMAATA,SENSİN,HALİL ASLAN,İzmir,1400,Kum,4 Yaşlı Araplar,ŞARTLI 5/DHÖW,54,N.AVCİ,HAKAN ASLAN,4,47,1:36:46,"5,00",Yok
01/01/2023,2,4,BAYDOĞAN,4y k  a,DOĞANGÜN,SEVİLAY,İSMAİL ERDOĞAN,İzmir,1400,Kum,4 Yaşlı Araplar,ŞARTLI 5/DHÖW,56 +1.70,M.BAYDAN,FAH.CEYLAN,2,36,1:38:30,"30,75",Yok
01/01/2023,2,5,MİHRİM,4y k k,SULTAN DE FAUST (FR),YILMAZKAYA,İBRAHİM ATAK,İzmir,1400,Kum,4 Yaşlı Araplar,ŞARTLI 5/DHÖW,52 +2.00,B.M.MIRIK,Ü.AYBOĞA,3,36,1:39:56,"31,85",Yok
01/01/2023,2,6,TAŞKALP,4y k  a,UFUKBİR,ARZUHANIM,BERK PELENK,İzmir,1400,Kum,4 Yaşlı Araplar,ŞARTLI 5/DHÖW,52 +1.90,A.YILDIZ AP,R.YILDIZ,5,37,1:40:59,"12,10",Yok
01/01/2023,3,1,ASK THE LEGEND,3y d  e,PAPA CLEM (USA),PURE GRACE (USA),GÖRKEM GEDİKOĞLU,İzmir,1900,Kum,3 Yaşlı İngilizler,Handikap 14 /H2,60,N.AVCİ,M.ER,6,47,2:05:11,"1,60",%34.59(1)
01/01/2023,3,2,GLORY BOX,3y a  d,SIDNEY`S CANDY (USA),LADY YAREN,ALOŞ YILDIRIM,İzmir,1900,Kum,3 Yaşlı İngilizler,Handikap 14 /H2,57 +0.20,M.GÖNÜLTAŞ,M.ÇAM,3,41,2:05:53,"3,40",%18.57(2)
01/01/2023,3,3,ACAR TAY,3y d  e,KALİMDOR,BURANO KIZI,HASAN HÜSEYİN AYRANCI,İzmir,1900,Kum,3 Yaşlı İngilizler,Handikap 14 /H2,55,C.PASO AP,M.TAMER,5,39,2:05:78,"15,80",%6.12(7)
01/01/2023,3,4,AKKAYA ATEŞİ,3y d  e,SCARFACE,SALİHLİ GÜZELİ,ASLAN SAVAŞAN,İzmir,1900,Kum,3 Yaşlı İngilizler,Handikap 14 /H2,"52,5 +1.50",A.C.DAĞDEVİREN,R.AYDOĞAN,8,32,2:06:92,"35,15",%2.45(8)
01/01/2023,3,5,YEĞENİM ELA,3y a  d,PACO BOY (IRE),PALM BEACH STORY (USA),KENAN ENGİN,İzmir,1900,Kum,3 Yaşlı İngilizler,Handikap 14 /H2,"58,5",E.AKTUĞ,B.BOZBEY,7,44,2:07:16,"18,60",%6.13(6)
